search URL:,https://patents.google.com/?assignee=Contemporary+Amperex+Technology+Co.+Limited%0A&after=priority:20130101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-10291038-B2,Passive equalization method and system for lithium iron phosphate battery pack ,"Contemporary Amperex Technology Co., Limited","Jingyao MEI, Jianguo Hu, Shilin Huang",2014-12-25,2015-12-24,2019-05-14,2019-05-14,https://patents.google.com/patent/US10291038B2/en,https://patentimages.storage.googleapis.com/9c/dd/f8/1b51439a10e29b/US10291038-20190514-D00000.png
US-11327139-B2,Measurement device for measuring a current calibration coefficient ,"Contemperary Amperex Technology Co., Limited","Yizhen Hou, Zhimin DAN, Wei Zhang, Jia Xu",2017-10-23,2020-11-20,2022-05-10,2022-05-10,https://patents.google.com/patent/US11327139B2/en,https://patentimages.storage.googleapis.com/2b/32/52/cadb2787a60125/US11327139-20220510-D00000.png
US-11177479-B2,"Current collector, electrode plate including the same and electrochemical device ","Contemporary Amperex Technology Co., Ltd.","Chengdu Liang, Huafeng HUANG, Qisen HUANG",2017-12-05,2018-12-05,2021-11-16,2021-11-16,https://patents.google.com/patent/US11177479B2/en,https://patentimages.storage.googleapis.com/d8/dc/e8/b8705618160bef/US11177479-20211116-D00000.png
US-10243236-B2,Overcharging preventive electrolyte and lithium-ion battery ,"Contemporary Amperex Technology Co., Limited","Kefei Wang, Yongshou Lin, Jie Chen",2015-07-13,2016-06-03,2019-03-26,2019-03-26,https://patents.google.com/patent/US10243236B2/en,https://patentimages.storage.googleapis.com/bc/ea/f9/1b312ca5e36332/US10243236-20190326-D00000.png
US-2019064279-A1,"Insulation detection circuit, detection method, and battery management system ","Contemporary Amperex Technology Co., Limited","Zhimin DAN, Zhanyu Sun, Yizhen Hou, Jiechao Luo, Wei Zhang",2017-08-29,2018-08-26,2019-02-28,,https://patents.google.com/patent/US20190064279A1/en,https://patentimages.storage.googleapis.com/77/c5/ae/36a94e5b876cdb/US20190064279A1-20190228-D00000.png
US-10491255-B2,Wakeup circuit with an optocoupler for battery sampling integrated chip and battery energy storage system ,"Contemporary Amperex Technology Co., Limited","Jiade LI, Gaosong Shen, Fuming Ye",2016-12-06,2017-11-29,2019-11-26,2019-11-26,https://patents.google.com/patent/US10491255B2/en,https://patentimages.storage.googleapis.com/d9/24/dc/a89f86ba82c4a2/US10491255-20191126-D00000.png
US-10780795-B2,Battery heating system and control method thereof ,"Contemporary Amperex Technology Co., Limited","Xiyang Zuo, Zhimin DAN, Wei Zhang, Yizhen Hou, Guowei Li, Xingyuan Wu, Yanru Li",2018-12-29,2019-03-30,2020-09-22,2020-09-22,https://patents.google.com/patent/US10780795B2/en,https://patentimages.storage.googleapis.com/a5/a8/10/3a192bd3acdc91/US10780795-20200922-D00000.png
US-2019064280-A1,Battery detection circuit and battery management system ,"Contemporary Amperex Technology Co., Limited","Zhanyu Sun, Zhimin DAN, Yizhen Hou, Jiechao Luo, Wei Zhang",2017-08-29,2018-08-27,2019-02-28,,https://patents.google.com/patent/US20190064280A1/en,https://patentimages.storage.googleapis.com/38/9a/bd/893e2b8f7e53b8/US20190064280A1-20190228-D00000.png
US-2021116513-A1,"Method for correcting soh, apparatus, battery management system and storage medium ","Contemporary Amperex Technology Co., Limited","Mingshu DU, Shichao LI, Jian Ruan, Shenzhi Tang, Yanhua Lu, Wei Zhang",2019-05-17,2020-12-28,2021-04-22,,https://patents.google.com/patent/US20210116513A1/en,https://patentimages.storage.googleapis.com/4d/7a/77/73cd3b78ea49c8/US20210116513A1-20210422-D00000.png
US-10725110-B2,"Current detection system, method and device ","Contemporary Amperex Technology Co., Limited","Zhimin DAN, Wei Zhang, Yizhen Hou, Jia Xu",2017-10-23,2018-10-19,2020-07-28,2020-07-28,https://patents.google.com/patent/US10725110B2/en,https://patentimages.storage.googleapis.com/44/e3/e1/8d7289fdb5391e/US10725110-20200728-D00000.png
US-10886757-B2,"Battery pack system, control method thereof and management device ","Contemporary Amperex Technology Co., Limited","Xiyang Zuo, Zhimin DAN, Wei Zhang, Yizhen Hou, Teng YU, Wenbin Lu, Xingyuan Wu, Taosheng ZHU",2018-05-22,2019-01-09,2021-01-05,2021-01-05,https://patents.google.com/patent/US10886757B2/en,https://patentimages.storage.googleapis.com/5a/8c/ba/41bf93b47fa3fc/US10886757-20210105-D00000.png
US-10338149-B2,Method and apparatus for calculating SOC of a battery being charged and battery pack including the apparatus ,"Contemporary Amperex Technology Co., Limited","Li Tan, Yushuai SHI, Nana XIONG, Yanhua Lu",2016-10-13,2017-09-29,2019-07-02,2019-07-02,https://patents.google.com/patent/US10338149B2/en,https://patentimages.storage.googleapis.com/66/78/7e/7fd8de147346c6/US10338149-20190702-D00000.png
US-2018348304-A1,Method and apparatus for estimating a state of health of a battery pack and computer-readable medium ,"Contemporary Amperex Technology Co., Limited","Shenzhi Tang, Yanhua Lu",2017-05-31,2018-05-30,2018-12-06,,https://patents.google.com/patent/US20180348304A1/en,https://patentimages.storage.googleapis.com/8f/ba/2c/c21a6aa4aea3f4/US20180348304A1-20181206-D00000.png
US-10985575-B2,Thermal runaway detection circuit and method ,"Contemporary Amperex Technology Co., Limited","Zhimin DAN, Chao Zeng, Xiao Wang, Jia Xu, Yizhen Hou, Wei Zhang, Guoliang Hu",2019-04-30,2019-08-29,2021-04-20,2021-04-20,https://patents.google.com/patent/US10985575B2/en,https://patentimages.storage.googleapis.com/01/e6/42/b78213d3e6f0c8/US10985575-20210420-D00000.png
US-10870353-B2,High-voltage interlock system and detection method thereof ,"Contemporary Amperex Technology Co., Limited","Yuqun Zeng, Kai Wu, Wei Dai, Chao Wang, Qiandeng LI",2018-09-21,2019-03-19,2020-12-22,2020-12-22,https://patents.google.com/patent/US10870353B2/en,https://patentimages.storage.googleapis.com/1d/d6/ba/307eccee1462d9/US10870353-20201222-D00000.png
US-11021064-B2,Battery pack heating apparatus and method of battery pack heating control ,"Contemporary Amperex Technology Co., Limited","Zhimin DAN, Xiyang Zuo, Wei Zhang, Yizhen Hou, Wenbin Lu, Xingyuan Wu, Taosheng ZHU",2018-05-22,2019-02-28,2021-06-01,2021-06-01,https://patents.google.com/patent/US11021064B2/en,https://patentimages.storage.googleapis.com/74/ad/37/7226b0ef982186/US11021064-20210601-D00000.png
US-2020212520-A1,Battery heating system and control method thereof ,"Contemporary Amperex Technology Co., Limited","Zhimin DAN, Xiyang Zuo, Wei Zhang, Yizhen Hou, Guowei Li, Xingyuan Wu, Yanru Li",2018-12-29,2019-03-08,2020-07-02,,https://patents.google.com/patent/US20200212520A1/en,https://patentimages.storage.googleapis.com/55/61/54/a365431f5e2e27/US20200212520A1-20200702-D00000.png
US-10969419-B2,"Insulation detection circuit, detection method and battery management system ","Contemporary Amperex Technology Co., Limited","Baohai DU, Guoxiu WU, Weiqiang LI, Qiandeng LI",2019-01-15,2019-09-20,2021-04-06,2021-04-06,https://patents.google.com/patent/US10969419B2/en,https://patentimages.storage.googleapis.com/2e/b3/6c/d3a8ce78245f83/US10969419-20210406-D00000.png
US-10862172-B2,Method and device for identifying master and slave battery packs ,"Contemporary Amperex Technology Co., Limited",Zhili WEI,2017-05-26,2018-05-24,2020-12-08,2020-12-08,https://patents.google.com/patent/US10862172B2/en,https://patentimages.storage.googleapis.com/7e/9b/50/3df2bf72943053/US10862172-20201208-D00000.png
US-2021075073-A1,"Heating module, heating method for battery module, and heating system ","Contemporary Amperex Technology Co., Limited","Yizhen Hou, Xiyang Zuo, Zhimin DAN, Wei Zhang, Xingyuan Wu, Taosheng ZHU",2018-05-22,2020-11-17,2021-03-11,,https://patents.google.com/patent/US20210075073A1/en,https://patentimages.storage.googleapis.com/5f/ca/63/17286319eb0e07/US20210075073A1-20210311-D00000.png
US-2018106867-A1,Method and device for estimating remaining available energy of a power battery ,"Contemporary Amperex Technology Co., Limited","Qiang YUN, Yushuai SHI, Yanhua Lu",2016-10-13,2017-09-29,2018-04-19,,https://patents.google.com/patent/US20180106867A1/en,https://patentimages.storage.googleapis.com/93/24/23/bb009f78a86883/US20180106867A1-20180419-D00000.png
US-2019359082-A1,Battery pack heating apparatus and method of battery pack heating control ,"Contemporary Amperex Technology Co., Limited","Yizhen Hou, Zhimin DAN, Wei Zhang, Xiyang Zuo, Xingyuan Wu, Taosheng ZHU",2018-05-22,2019-02-28,2019-11-28,,https://patents.google.com/patent/US20190359082A1/en,https://patentimages.storage.googleapis.com/f2/d0/f2/ca774123c0372c/US20190359082A1-20191128-D00000.png
US-10894485-B2,Method and device for detecting SOC of battery ,"Contemporary Amperex Technology Co., Limited","Ang Zhao, Yong Cheng, Xiaojun Yang, Jiming DU",2016-07-01,2017-06-30,2021-01-19,2021-01-19,https://patents.google.com/patent/US10894485B2/en,https://patentimages.storage.googleapis.com/63/bd/f3/5ec3d34cfa53af/US10894485-20210119-D00000.png
US-11050287-B2,"Battery pack system and its control method, management device ","Contemporary Amperex Technology Co., Limited","Wei Zhang, Zhimin DAN, Yizhen Hou, Xiyang Zuo, Wenbin Lu, Xingyuan Wu, Taosheng ZHU",2018-05-22,2018-12-28,2021-06-29,2021-06-29,https://patents.google.com/patent/US11050287B2/en,https://patentimages.storage.googleapis.com/b5/4e/57/f5536ceae52546/US11050287-20210629-D00000.png
US-10629868-B2,Battery module and end plate of the battery module ,"Contemporary Amperex Technology Co., Limited",Gen CAO,2017-01-20,2017-07-24,2020-04-21,2020-04-21,https://patents.google.com/patent/US10629868B2/en,https://patentimages.storage.googleapis.com/12/89/03/8aac51035af8a7/US10629868-20200421-D00000.png
US-11355742-B2,Negative electrode plate and lithium-ion secondary battery ,"Contemporary Amperex Technologv Co., Limited","Zhiqiang Li, Changlong HAN",2018-11-12,2019-11-09,2022-06-07,2022-06-07,https://patents.google.com/patent/US11355742B2/en,
US-9929396-B2,Power battery cap structure and power battery ,"Contemporary Amperex Technology Co., Limited","Quankun Li, Kai Wu, Pinghua DENG, Xiaobo Chen",2015-07-23,2015-09-01,2018-03-27,2018-03-27,https://patents.google.com/patent/US9929396B2/en,https://patentimages.storage.googleapis.com/e5/19/a8/d5c1054735d445/US09929396-20180327-D00000.png
US-10658715-B2,Battery module heat management assembly ,"Contemporary Amperex Technology Co., Limited","Yi Song, Yanhuo XIANG",2015-07-27,2018-01-25,2020-05-19,2020-05-19,https://patents.google.com/patent/US10658715B2/en,https://patentimages.storage.googleapis.com/26/60/47/6469e61ee0fcf7/US10658715-20200519-D00000.png
EP-3793008-B1,"Positive electrode material, preparation method therefor, and use thereof ","Contemporary Amperex Technology Co., Limited","Rui DU, Yongchao LIU, Sihui WANG, Deyu ZHAO, Na LIU",2018-12-29,2019-11-25,2023-02-22,2023-02-22,https://patents.google.com/patent/EP3793008B1/en,
EP-3787071-B1,"Positive electrode sheet, manufacturing method therefor, lithium ion secondary battery, battery module, battery pack, and device ","Contemporary Amperex Technology Co., Limited","Mingkui GUO, Yaohui Wang, Yaping HUANG",2018-10-23,2019-10-15,2023-07-12,2023-07-12,https://patents.google.com/patent/EP3787071B1/en,https://patentimages.storage.googleapis.com/bb/e2/1c/d46ac46a1261ae/imgf0001.png
EP-3367491-B1,Lithium ion battery and electrolyte thereof ,"Contemporary Amperex Technology Co., Limited","Ming Zhang, Chang long HAN, Hao Zhang, Cui ping ZHANG",2017-02-23,2018-02-22,2019-08-21,2019-08-21,https://patents.google.com/patent/EP3367491B1/en,
