search URL:,https://patents.google.com/?assignee=BYD+Auto%0A&after=priority:20130101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CN-210403972-U,"Heat exchange plate assembly of battery pack, battery assembly with heat exchange plate assembly and electric automobile with heat exchange plate assembly ","比亚迪股份有限公司, 宁波比亚迪汽车有限公司","凌添, 张祖光, 吴俊甫, 姚文强, 刘欢",2019-08-23,2019-08-23,2020-04-24,2020-04-24,https://patents.google.com/patent/CN210403972U/en,https://patentimages.storage.googleapis.com/fe/a8/67/7c6b8a87cad305/HDA0002177796360000011.png
US-9499038-B2,Integrated hybrid power assembly and vehicle comprising the same ,"Shenzhen Byd Auto R&D Company Limited, Byd Company Limited","Guo Tang, Yu Hua, Jing Liu, Jinchen Lin",2013-03-28,2015-08-18,2016-11-22,2016-11-22,https://patents.google.com/patent/US9499038B2/en,https://patentimages.storage.googleapis.com/18/be/ee/5ccb5397baa7ed/US09499038-20161122-D00000.png
CN-112441572-B,Method for recovering waste lithium iron phosphate anode material ,"比亚迪股份有限公司, 深圳市比亚迪锂电池有限公司","邓金兴, 徐茶清, 曹文玉",2019-08-27,2019-08-27,2022-11-11,2022-11-11,https://patents.google.com/patent/CN112441572B/en,https://patentimages.storage.googleapis.com/af/28/cb/a01a85a5285120/HDA0002180866540000011.png
CN-205645921-U,Battery package box and vehicle that has it ,比亚迪股份有限公司,马鸣,2016-04-08,2016-04-08,2016-10-12,2016-10-12,https://patents.google.com/patent/CN205645921U/en,
CN-209612047-U,A kind of fire-fighting system ,宁波比亚迪汽车有限公司,"尹韶文, 孙嘉品, 颜阳, 王伟佳",2018-12-25,2018-12-25,2019-11-12,2019-11-12,https://patents.google.com/patent/CN209612047U/en,
CN-204323097-U,The integrated assembly of the high voltage power control system of pure electric automobile and power system ,比亚迪股份有限公司,"张立明, 梁树林",2014-10-29,2014-10-29,2015-05-13,2015-05-13,https://patents.google.com/patent/CN204323097U/en,
CN-109774689-B,Braking force control method and device ,比亚迪汽车工业有限公司,"杜骞, 杨丽娜, 刘赛武",2017-11-13,2017-11-13,2020-06-23,2020-06-23,https://patents.google.com/patent/CN109774689B/en,https://patentimages.storage.googleapis.com/1b/5e/0e/d39731168d637e/HDA0002398529560000011.png
CN-111376728-B,Control method and control system based on steep-slope slow-descent control system and electric vehicle ,比亚迪汽车工业有限公司,"王世友, 徐建栋, 岳光俊, 陈未未",2018-12-29,2018-12-29,2021-12-07,2021-12-07,https://patents.google.com/patent/CN111376728B/en,https://patentimages.storage.googleapis.com/39/1d/bf/716c76fdbfc742/HDA0001931792290000011.png
CN-111370751-B,"Solid-state battery, preparation method thereof and electric automobile ",深圳市比亚迪锂电池有限公司,"胡屹伟, 郭姿珠, 历彪",2018-12-25,2018-12-25,2021-12-07,2021-12-07,https://patents.google.com/patent/CN111370751B/en,https://patentimages.storage.googleapis.com/c3/4d/46/faa047fad99195/HDA0001919544360000011.png
US-10118498-B2,Power supply system for electric vehicle and method for controlling the same ,Byd Company Limited,"Longfei Li, Shulin Liang, Xiaohua Tang",2013-03-21,2014-03-21,2018-11-06,2018-11-06,https://patents.google.com/patent/US10118498B2/en,https://patentimages.storage.googleapis.com/03/a0/5a/4e7ba180fd2782/US10118498-20181106-D00000.png
CN-203964454-U,A kind of pure electric automobile heat pump type air conditioning system and pure electric automobile ,比亚迪汽车工业有限公司,"聂欢欢, 叶梅娇, 陈雪峰",2013-12-27,2013-12-27,2014-11-26,2014-11-26,https://patents.google.com/patent/CN203964454U/en,
US-2014319114-A1,"Electric heater, and apparatus, heating and air conditioning system, and vehicle comprising the same ","Shenzhen Byd Auto R&D Company Limited, Byd Company Limited","Qing Gong, Xinping Lin, Maolin REN, Xiaofang Li, Tianyou DENG, Shumin Wang, Hui Wu, Mengxiang WU, Hongmei QIU, Huaitong WEN, Weifeng Zhang",2013-04-28,2014-04-24,2014-10-30,,https://patents.google.com/patent/US20140319114A1/en,https://patentimages.storage.googleapis.com/e6/9f/dd/4a407f8eaf9127/US20140319114A1-20141030-D00000.png
US-2016090134-A1,Bus ,"Byd Company Limited, Shenzhen Byd Auto R&D Company Lmited","Yuecong NIU, Wang Peng, Yichao Wu, Peng Yu",2014-09-30,2015-09-03,2016-03-31,,https://patents.google.com/patent/US20160090134A1/en,https://patentimages.storage.googleapis.com/29/d6/8e/b38c7a4bf0a1c5/US20160090134A1-20160331-D00000.png
US-2014290530-A1,"Metal compound, method for preparing the same, selective metallization of surface of substrate with the metal compound ","Byd Company Limited, Shenzhen Byd Auto R&D Company Limited","Qing Gong, Wei Zhou, Bifeng MAO, Weifeng Miao",2013-04-02,2014-04-01,2014-10-02,,https://patents.google.com/patent/US20140290530A1/en,https://patentimages.storage.googleapis.com/9a/a2/66/b328b678e7ba8b/US20140290530A1-20141002-D00000.png
US-2014292073-A1,System and method for controlling vehicle electric power and vehicle comprising the system ,"Byd Company Limited, Shenzhen Byd Auto R&D Company Limited","Yongzeng ZHANG, Xiaowen DU, Yilin ZHONG, Chunfen WU",2013-03-28,2014-03-28,2014-10-02,,https://patents.google.com/patent/US20140292073A1/en,https://patentimages.storage.googleapis.com/05/ba/ab/354688c14528f9/US20140292073A1-20141002-D00000.png
WO-2014206368-A1,"Power system for electric vehicle, electric vehicle and method for charging power battery ","Shenzhen Byd Auto R&D Company Limited, Byd Company Limited","Guangming Yang, Jian Liu, Yilong Yu",2013-06-28,2014-06-30,2014-12-31,,https://patents.google.com/patent/WO2014206368A1/en,
WO-2014206373-A1,Vehicle mutual-charging system and charging connector ,"Shenzhen Byd Auto R&D Company Limited, Byd Company Limited","Guangming Yang, Min Hu",2013-06-28,2014-06-30,2014-12-31,,https://patents.google.com/patent/WO2014206373A1/en,
CN-112953250-A,"Power supply control method, power supply module and storage medium ","比亚迪股份有限公司, 比亚迪汽车工业有限公司","景剑飞, 孙嘉品",2019-11-26,2019-11-26,2021-06-11,,https://patents.google.com/patent/CN112953250A/en,https://patentimages.storage.googleapis.com/52/24/7a/8f868069fd91ef/HDA0002288916330000011.png
WO-2014206374-A1,Charging system for electric vehicle and method for controlling charging of electric vehicle ,"Shenzhen Byd Auto R & D Company Limited, Byd Company Limited","Guangming Yang, Min Hu",2013-06-28,2014-06-30,2014-12-31,,https://patents.google.com/patent/WO2014206374A1/en,
CN-207449912-U,A kind of bogie and with its Rail Transit System ,比亚迪汽车工业有限公司,"刘秀, 谭志成",2017-09-28,2017-09-28,2018-06-05,2018-06-05,https://patents.google.com/patent/CN207449912U/en,
CN-109980711-A,Electric car and electric machine control system ,比亚迪汽车工业有限公司,"孙珍, 姚鹏飞, 郭彩芳, 王晋军",2017-12-28,2017-12-28,2019-07-05,,https://patents.google.com/patent/CN109980711A/en,
EP-4079880-A1,Aluminum alloy and application thereof ,"BYD Auto Industry Company Limited, Huawei Technologies Co., Ltd.","Qiang Guo, Mengde WANG, Tao Yang, Rong Wang, Wei An, Jingsong Fu",2019-12-20,2020-03-24,2022-10-26,,https://patents.google.com/patent/EP4079880A1/en,https://patentimages.storage.googleapis.com/ec/52/69/90cd2f355872c8/imgf0001.png
CN-110661441-A,Electric automobile and motor controller for electric automobile ,比亚迪汽车工业有限公司,"王晋军, 陈伟, 胡敏, 孙珍",2018-06-28,2018-06-28,2020-01-07,,https://patents.google.com/patent/CN110661441A/en,https://patentimages.storage.googleapis.com/9e/ad/8b/fa2f2e93e33817/HDA0001712576950000011.png
CN-208698511-U,A kind of collector shoe and bogie and rail vehicle with it ,比亚迪汽车工业有限公司,"肖志鸿, 谭志成, 其他发明人请求不公开姓名",2018-07-25,2018-07-25,2019-04-05,2019-04-05,https://patents.google.com/patent/CN208698511U/en,
CN-109774690-A,The brake control method and device of train ,比亚迪汽车工业有限公司,"刘赛武, 杜骞, 杨丽娜",2017-11-13,2017-11-13,2019-05-21,,https://patents.google.com/patent/CN109774690A/en,
CN-109835364-A,A kind of bogie and the Rail Transit System with it ,比亚迪汽车工业有限公司,"刘秀, 谭志成",2017-11-24,2017-11-24,2019-06-04,,https://patents.google.com/patent/CN109835364A/en,
CN-109720370-A,A kind of bogie and the Rail Transit System with it ,比亚迪汽车工业有限公司,"刘秀, 谭志成",2017-10-30,2017-10-30,2019-05-07,,https://patents.google.com/patent/CN109720370A/en,
CN-207449913-U,A kind of bogie is with having its Rail Transit System ,比亚迪汽车工业有限公司,"谭志成, 汪达胜",2017-10-30,2017-10-30,2018-06-05,2018-06-05,https://patents.google.com/patent/CN207449913U/en,
CN-204586420-U,Vehicle and a/c system thereof ,比亚迪汽车工业有限公司,"谭廷帅, 汪耀东",2014-12-15,2014-12-15,2015-08-26,2015-08-26,https://patents.google.com/patent/CN204586420U/en,
WO-2014206366-A1,Charge control system for electric vehicle and electric vehicle ,"Shenzhen Byd Auto R&D Company Limited, Byd Company Limited","Liping ZENG, Guangming Yang",2013-06-28,2014-06-30,2014-12-31,,https://patents.google.com/patent/WO2014206366A1/en,
WO-2015096491-A1,Dual-glass cell module ,"深圳市比亚迪汽车研发有限公司, 比亚迪股份有限公司","王申存, 孙翔, 王胜亚, 姜占锋",2013-12-27,2014-08-15,2015-07-02,,https://patents.google.com/patent/WO2015096491A1/en,
WO-2015003619-A1,Motor control system of electric vehicle and controlling method for motor control system of electric vehicle and electric vehicle ,"Shenzhen Byd Auto R&D Company Limited, Byd Company Limited","Caifang GUO, Bingjian HUANG",2013-07-09,2014-07-08,2015-01-15,,https://patents.google.com/patent/WO2015003619A1/en,
WO-2014135060-A1,"Switching power source, method and control chip for controlling the same ","Shenzhen Byd Auto R&D Company Limited, Byd Company Limited","Wenhui Ye, Xiaohua Yang",2013-03-04,2014-03-04,2014-09-12,,https://patents.google.com/patent/WO2014135060A1/en,
WO-2014206369-A1,"Power system for electric vehicle,electric vehicle and motor controller ","Shenzhen Byd Auto R&D Company Limited, Byd Company Limited","Xiaohua Tang, Guangming Yang, Xinxin Zhang, Zhiyong Du, Min Hu, Yilong Yu, Jian Liu, Zheqing TANG, Fu Tang",2013-06-28,2014-06-30,2014-12-31,,https://patents.google.com/patent/WO2014206369A1/en,
