search URL:,https://patents.google.com/?assignee=Ford+Motor+Company%0A&after=priority:20130101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-10249890-B2,Method for cold-start of fuel cell stack ,"Daimler Ag, Ford Motor Company, Nissan Motor Co., Ltd.","Michael Procter, Richard G. Fellows, Yosuke Fukuyama, Shiomi Takeshi",2015-06-19,2015-06-19,2019-04-02,2019-04-02,https://patents.google.com/patent/US10249890B2/en,https://patentimages.storage.googleapis.com/a3/1f/50/1c91cbb960541c/US10249890-20190402-D00000.png
US-10903508-B2,Fuel cell assemblies and preparation methods therfor ,"Daimler Ag, Ford Motor Company, Nissan Motor Co., Ltd.","Simon Farrington, Charles Lee, Alvin Lee",2013-01-18,2013-12-20,2021-01-26,2021-01-26,https://patents.google.com/patent/US10903508B2/en,https://patentimages.storage.googleapis.com/b3/98/07/b2080da9daaadd/US10903508-20210126-D00000.png
US-10070717-B2,Stowable table assembly ,"Ford Global Technologies, Llc","Stephen De Saulles, Liberty FEARNS, Marcus Hoggarth, Matthew Graeme Leck",2015-12-23,2016-11-30,2018-09-11,2018-09-11,https://patents.google.com/patent/US10070717B2/en,https://patentimages.storage.googleapis.com/16/65/f1/542e86fda2d029/US10070717-20180911-D00000.png
US-D756264-S,Folding bicycle ,"Ford Global Technologies, Llc","Thomas Thompson, Paul J Wraith",2015-02-26,2015-02-26,2016-05-17,2016-05-17,https://patents.google.com/patent/USD756264S1/en,https://patentimages.storage.googleapis.com/5a/b7/07/8095971c3f0313/USD0756264-20160517-D00000.png
US-D795768-S,Vehicle rear wheel lip molding ,"Ford Global Technologies, Llc","Gordon Platto, Sean Tant, William K. Moore",2015-08-28,2015-08-28,2017-08-29,2017-08-29,https://patents.google.com/patent/USD795768S1/en,https://patentimages.storage.googleapis.com/6d/90/d5/8cde79405e0f82/USD0795768-20170829-D00000.png
US-D768045-S,Vehicle wheel ,Ford Motor Company,"Kemal Curic, Darrell Behmer, Christopher Svensson, Moray Callum, Joel Piaskowski",2014-10-24,2014-10-24,2016-10-04,2016-10-04,https://patents.google.com/patent/USD768045S1/en,https://patentimages.storage.googleapis.com/42/c8/54/3ff480d7f4b84a/USD0768045-20161004-D00000.png
US-D726608-S,Vehicle rear spoiler ,Ford Motor Company,"Kemal Curic, Darrell Behmer, Christopher Svensson, Moray Callum, Joel Piaskowski",2014-10-24,2014-10-24,2015-04-14,2015-04-14,https://patents.google.com/patent/USD726608S1/en,https://patentimages.storage.googleapis.com/e7/0e/4a/0964adee161113/USD0726608-20150414-D00000.png
US-D721313-S,Vehicle windshield ,Ford Motor Company,"J C. Mays, Moray S. Callum, Joel Piaskowski, Darrell Behmer, Ehab Kaoud, Kemal Curic",2013-10-16,2013-12-16,2015-01-20,2015-01-20,https://patents.google.com/patent/USD721313S1/en,https://patentimages.storage.googleapis.com/6e/76/29/0d854952815b98/USD0721313-20150120-D00000.png
US-D709010-S,Vehicle fender ,Ford Motor Company,"J C. Mays, Moray S. Callum, Joel Piaskowski, Kemal Curic",2013-08-20,2013-08-20,2014-07-15,2014-07-15,https://patents.google.com/patent/USD709010S1/en,https://patentimages.storage.googleapis.com/a2/b3/87/739315ed42c3cc/USD0709010-20140715-D00000.png
US-D760933-S,Vehicle tail lamp ,Ford Motor Company,"Berk Keskin, Wolfgang Otschke",2014-09-18,2015-03-11,2016-07-05,2016-07-05,https://patents.google.com/patent/USD760933S1/en,https://patentimages.storage.googleapis.com/97/9b/d6/51b40746c31a02/USD0760933-20160705-D00000.png
