search URL:,https://patents.google.com/?assignee=Mitsubishi+Motors%0A&after=priority:20130101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9895985-B2,Charging inlet lid structure ,"Mitsubishi Jidosha Kogyo Kabushiki Kaisha, Mitsubishi Jidosha Engineering Kabushiki Kaisha","Akira Takahashi, Yusuke Katagiri",2014-11-19,2015-11-18,2018-02-20,2018-02-20,https://patents.google.com/patent/US9895985B2/en,https://patentimages.storage.googleapis.com/4e/95/9f/1f47c6be4eff95/US09895985-20180220-D00000.png
EP-3403895-B1,"Parking support system, parking support method and program ","Mitsubishi Heavy Industries, Ltd., Mitsubishi Jidosha Kogyo Kabushiki Kaisha","Yasuo Fujishima, Yusuke Kinouchi, Satoshi Iio, Tetsuya Tomonaka, Kevin Walters",2016-01-12,2017-01-12,2020-05-27,2020-05-27,https://patents.google.com/patent/EP3403895B1/en,https://patentimages.storage.googleapis.com/c4/4a/f2/1cca0835298b2d/imgf0001.png
US-10457160-B2,Power control device for vehicle ,"Mitsubishi Jidosha Kogyo Kabushiki Kaisha, Mitsubishi Jidosha Engineering Kabushiki Kaisha","Ryoji Kato, Koji Ichikawa, Masashi Takahashi, Kazuyoshi Nakane, Kazuhito Kawashima, Tetsuya Watanabe, Keisuke Tashiro",2015-03-20,2017-03-31,2019-10-29,2019-10-29,https://patents.google.com/patent/US10457160B2/en,https://patentimages.storage.googleapis.com/88/ee/aa/4e3cc9e99e9c41/US10457160-20191029-D00000.png
US-9623911-B2,Rear part structure of vehicle ,"Mitsubishi Jidosha Kogyo Kabushiki Kaisha, Mitsubishi Jidosha Engineering Kabushiki Kaisha","Hiroaki Kano, Satoru Takahashi, Masato Nakamura, Toshiaki Isogai, Atsushi OGITA, Syunichiro OHMA, Yuichi Miyake, Hiroyuki Inoue, Muneaki KATO, Hiroki Arai",2014-08-25,2015-08-24,2017-04-18,2017-04-18,https://patents.google.com/patent/US9623911B2/en,https://patentimages.storage.googleapis.com/4f/6c/f0/7657002df30ce4/US09623911-20170418-D00000.png
US-9688137-B2,Lid device for charging port ,"Mitsubishi Jidosha Kogyo Kabushiki Kaisha, Mitsubishi Jidosha Engineering Kabushiki Kaisha","Akira Takahashi, Shoichi Honda",2014-10-29,2015-10-28,2017-06-27,2017-06-27,https://patents.google.com/patent/US9688137B2/en,https://patentimages.storage.googleapis.com/a5/70/64/9bc521a67f84d3/US09688137-20170627-D00000.png
US-D804369-S,Automobile front end ,Mitsubishi Jidosha Kogyo Kabushiki Kaisha,"Naoki Akita, Atsushi Goto",2015-09-29,2016-03-28,2017-12-05,2017-12-05,https://patents.google.com/patent/USD804369S1/en,https://patentimages.storage.googleapis.com/50/91/59/52e9ef39003eae/USD0804369-20171205-D00000.png
US-9346368-B2,Motor vehicle charging inlet structure ,Mitsubishi Jidosha Kogyo Kabushiki Kaisha,Terutoshi BITO,2013-10-16,2014-10-14,2016-05-24,2016-05-24,https://patents.google.com/patent/US9346368B2/en,https://patentimages.storage.googleapis.com/d8/b3/2c/f9d943b86e3db9/US09346368-20160524-D00000.png
US-9662989-B2,Fault diagnostic device for vehicle charging system ,Mitsubishi Jidosha Kogyo Kabushiki Kaisha,"Yu Watanabe, Noriyoshi AIBA, Takashi Nonaka, Kenji Kondo, Yasuhiro Yamanaka",2014-05-27,2015-05-27,2017-05-30,2017-05-30,https://patents.google.com/patent/US9662989B2/en,https://patentimages.storage.googleapis.com/18/f6/02/e488c36a7754ec/US09662989-20170530-D00000.png
US-10793095-B2,Structure for mounting radar ,Mitsubishi Jidosha Kogyo Kabushiki Kaisha,"Masanao HORIUCHI, Shingo Kawano",2017-02-21,2018-02-20,2020-10-06,2020-10-06,https://patents.google.com/patent/US10793095B2/en,https://patentimages.storage.googleapis.com/6d/24/dc/9fa7c5bdcbd4f3/US10793095-20201006-D00000.png
US-D748025-S,Automobile ,Mitsubishi Jidosha Kogyo Kabushiki Kaisha,Norihiko Yoshimine,2013-10-08,2014-04-07,2016-01-26,2016-01-26,https://patents.google.com/patent/USD748025S1/en,https://patentimages.storage.googleapis.com/2e/a9/57/0b734e726753b7/USD0748025-20160126-D00000.png
