search URL:,https://patents.google.com/?assignee=Nio+Inc.%0A&after=priority:20130101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2018201187-A1,Method and system for providing an escape route from a vehicle ,"NextEv USA, Inc.","Yadunandana Yellambalase, Austin L. Newman",2017-01-16,2017-01-16,2018-07-19,,https://patents.google.com/patent/US20180201187A1/en,https://patentimages.storage.googleapis.com/30/88/1d/d9ac1abbfc7e0d/US20180201187A1-20180719-D00000.png
US-2018201138-A1,Self-destruct zone and autonomous vehicle navigation ,"NextEv USA, Inc.","Yadunandana Yellambalase, Austin L. Newman",2017-01-16,2017-01-16,2018-07-19,,https://patents.google.com/patent/US20180201138A1/en,https://patentimages.storage.googleapis.com/d9/6a/fc/c3845c542cd76d/US20180201138A1-20180719-D00000.png
US-2018009326-A1,Battery agnostic provisioning of power ,"NextEv USA, Inc.",Christopher P. Ricci,2016-07-07,2016-12-30,2018-01-11,,https://patents.google.com/patent/US20180009326A1/en,https://patentimages.storage.googleapis.com/84/c3/f6/5f76c341cf7d5c/US20180009326A1-20180111-D00000.png
US-10464530-B2,Voice biometric pre-purchase enrollment for autonomous vehicles ,"Nio Usa, Inc.","Lisa E. Falkson, Annie Jui Shan Chang, Anthony Tao Liang",2017-01-17,2017-01-17,2019-11-05,2019-11-05,https://patents.google.com/patent/US10464530B2/en,https://patentimages.storage.googleapis.com/73/8d/01/7e5223f062466f/US10464530-20191105-D00000.png
US-10300808-B2,Preconditioned charging using an autonomous vehicle ,"Nio Usa, Inc.","Austin L. Newman, Rick Rajaie",2017-04-20,2017-04-20,2019-05-28,2019-05-28,https://patents.google.com/patent/US10300808B2/en,https://patentimages.storage.googleapis.com/84/24/63/a81e83e4df6eab/US10300808-20190528-D00000.png
US-10692126-B2,Network-based system for selling and servicing cars ,"Nio Usa, Inc.","William Li, Chris Ricci",2015-11-17,2016-07-05,2020-06-23,2020-06-23,https://patents.google.com/patent/US10692126B2/en,https://patentimages.storage.googleapis.com/e4/fc/b5/865142e40e089c/US10692126-20200623-D00000.png
US-10160339-B2,Smart grid management ,"Nio Usa, Inc.",Christopher P. Ricci,2015-11-13,2016-08-16,2018-12-25,2018-12-25,https://patents.google.com/patent/US10160339B2/en,https://patentimages.storage.googleapis.com/8a/95/32/72576a20df300e/US10160339-20181225-D00000.png
US-10336194-B2,Electric vehicle charging device alignment and method of use ,"Nio Usa, Inc.",Christopher P. Ricci,2015-11-13,2015-12-22,2019-07-02,2019-07-02,https://patents.google.com/patent/US10336194B2/en,https://patentimages.storage.googleapis.com/05/51/83/3a0d89b730f5da/US10336194-20190702-D00000.png
US-10601090-B2,Using a spacer to block path of thermally conductive structural adhesive in lithium ion cells ,"Nio Usa, Inc.","Austin L. Newman, Alexander J. Smith",2017-04-28,2017-04-28,2020-03-24,2020-03-24,https://patents.google.com/patent/US10601090B2/en,https://patentimages.storage.googleapis.com/fc/61/77/112b502a58111e/US10601090-20200324-D00000.png
US-2019187971-A1,Method and system for providing secure over-the-air vehicle updates ,"Nio Usa, Inc.","Qiyan Wang, Abraham T. Chen, Veysel Özer",2017-12-20,2017-12-20,2019-06-20,,https://patents.google.com/patent/US20190187971A1/en,https://patentimages.storage.googleapis.com/0a/50/2f/b21b231a3724f2/US20190187971A1-20190620-D00000.png
