search URL:,https://patents.google.com/?assignee=Audi+AG%0A&after=priority:20130101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
JP-6660472-B2,"Humidifier with integrated water separator for fuel cell system, fuel cell system and vehicle with the same ","フオルクスワーゲン・アクチエンゲゼルシヤフトＶｏｌｋｓｗａｇｅｎ Ａｋｔｉｅｎｇｅｓｅｌｌｓｃｈａｆｔ, フオルクスワーゲン・アクチエンゲゼルシヤフト, アウディ アクチェンゲゼルシャフトＡｕｄｉ Ａｇ, アウディ  アクチェンゲゼルシャフト","ルーカス，クリスティアン, ルネ シュテーク, ルネ シュテーク",2015-12-17,2016-12-08,2020-03-11,2020-03-11,https://patents.google.com/patent/JP6660472B2/en,https://patentimages.storage.googleapis.com/6d/08/3d/128a07eb6595f4/0006660472-2.png
JP-6971394-B2,"A display device, especially for vehicles, and a vehicle equipped with the display device. ","アウディ アクチェンゲゼルシャフトAudi Ag, アウディ アクチェンゲゼルシャフト","シュヴァルツェ、セバスチャン, クルグ、マルクス, シュヴァーガー、アンドレ, アリ ケッツェ、ムハンマド",2017-09-27,2018-09-20,2021-11-24,2021-11-24,https://patents.google.com/patent/JP6971394B2/en,https://patentimages.storage.googleapis.com/2a/02/39/9b83a4c492f20f/0006971394-2.png
US-10079193-B2,Semiconductor module ,"Abb Schweiz Ag, Audi Ag","Fabian Mohn, Jürgen SCHUDERER",2016-03-08,2017-03-08,2018-09-18,2018-09-18,https://patents.google.com/patent/US10079193B2/en,https://patentimages.storage.googleapis.com/df/9f/d6/c0457e4986c68a/US10079193-20180918-D00000.png
US-10387725-B2,System and methodologies for occupant monitoring utilizing digital neuromorphic (NM) data and fovea tracking ,"Volkswagen Ag, Audi Ag, Porsche Ag","Edmund Dawes ZINK, Douglas Allen HAUGER, Lutz Junge, Luis Marcial HERNANDEZ GONZALEZ, Jerramy L. GIPSON, Anh Vu, Martin HEMPEL, Nikhil J. George",2016-12-21,2019-02-20,2019-08-20,2019-08-20,https://patents.google.com/patent/US10387725B2/en,https://patentimages.storage.googleapis.com/77/08/d1/829e63943850c4/US10387725-20190820-D00000.png
US-11018117-B2,Half-bridge module with coaxial arrangement of the DC terminals ,Abb Power Grids Switzerland Ag,"Fabian Mohn, Felix Traub, Jürgen SCHUDERER",2017-05-02,2019-11-04,2021-05-25,2021-05-25,https://patents.google.com/patent/US11018117B2/en,https://patentimages.storage.googleapis.com/51/31/03/562d32dbf884e7/US11018117-20210525-D00000.png
US-9688288-B1,Geofencing for auto drive route planning ,"VOLKSWAGEN AG et al., Audi Ag","William Brian LATHROP, Nathaniel PAFFETT-LUGASSY",2016-03-08,2016-03-08,2017-06-27,2017-06-27,https://patents.google.com/patent/US9688288B1/en,https://patentimages.storage.googleapis.com/c8/81/7d/f46262a51952ac/US09688288-20170627-D00000.png
US-10423856-B2,Vector engine and methodologies using digital neuromorphic (NM) data ,"Volkswagen Ag, Audi Ag, Porsche Ag","Edmund Dawes ZINK, Douglas Allen HAUGER, Lutz Junge, Luis Marcial HERNANDEZ GONZALEZ, Jerramy L. GIPSON, Anh Vu, Martin HEMPEL, Nikhil J. George",2016-12-21,2019-02-20,2019-09-24,2019-09-24,https://patents.google.com/patent/US10423856B2/en,https://patentimages.storage.googleapis.com/59/3d/5f/3a21a0d31b5744/US10423856-20190924-D00000.png
US-9855894-B1,"Apparatus, system and methods for providing real-time sensor feedback and graphically translating sensor confidence data ","Volkswagen Aktiengesellschaft, Audi Ag, Dr. Ing. H.C. F. Porsche Ag",Allen Khorasani,2016-09-16,2016-09-16,2018-01-02,2018-01-02,https://patents.google.com/patent/US9855894B1/en,https://patentimages.storage.googleapis.com/36/bf/b0/64c7a445293c27/US09855894-20180102-D00000.png
US-10387741-B2,"Digital neuromorphic (NM) sensor array, detector, engine and methodologies ","Volkswagen Ag, Audi Ag, Porsche Ag","Edmund Dawes ZINK, Douglas Allen HAUGER, Lutz Junge, Luis Marcial HERNANDEZ GONZALEZ, Jerramy L. GIPSON, Anh Vu, Martin HEMPEL, Nikhil J. George",2016-12-21,2018-11-19,2019-08-20,2019-08-20,https://patents.google.com/patent/US10387741B2/en,https://patentimages.storage.googleapis.com/6a/70/8a/fca8146d847d63/US10387741-20190820-D00000.png
US-2019164418-A1,System and method for predicting and maximizing traffic flow ,"Volkswagen Ag, Audi Ag, Porsche Ag","Florian NEUKART, Gabriele COMPOSTELLA, Christian Seidel, David VON DOLLEN",2017-11-30,2017-11-30,2019-05-30,,https://patents.google.com/patent/US20190164418A1/en,https://patentimages.storage.googleapis.com/07/2f/a8/6f3591cf37953c/US20190164418A1-20190530-D00000.png
US-9899283-B2,Power module with low stray inductance ,Abb Schweiz Ag,"Didier Cottet, Felix Traub",2016-05-19,2017-05-19,2018-02-20,2018-02-20,https://patents.google.com/patent/US9899283B2/en,https://patentimages.storage.googleapis.com/4a/35/0b/e375898dadab8e/US09899283-20180220-D00000.png
CN-105606100-B,"Apparatus, system and method for clustering points of interest in a navigation system ","大众汽车有限公司, 奥迪股份公司","S.达尔, H.陈, H-H.吴",2014-09-10,2015-09-10,2020-08-07,2020-08-07,https://patents.google.com/patent/CN105606100B/en,https://patentimages.storage.googleapis.com/aa/eb/33/e164b4885c73d9/HDA0000799739750000011.png
US-9865113-B2,"Apparatus, system and method for dynamic identification and key management for vehicle access ","Volkswagen Aktiengesellschaft, Audi Ag","Heiko Maiwand, Martin Roehder, Payton White, Jaime Camhi",2016-06-03,2016-09-09,2018-01-09,2018-01-09,https://patents.google.com/patent/US9865113B2/en,https://patentimages.storage.googleapis.com/79/30/09/c67dd982cc0ab1/US09865113-20180109-D00000.png
US-10618207-B2,Method for producing a material composite composed of metal and plastic to form a plastic-metal hybrid component ,"Basf Se, Sabic Innovative Plastics B.V., Trumpf Laser—und Systemtechnik GmbH","Kim Kose, Stephan Ohnimus, Michael Minkow, Harald Ott, Alexander Näck, Jan Gaugler, Holger Klink, Fred Eggers, Leo Hoffmann, Gerardus Doggen, Birgit Faißt",2014-06-11,2015-05-04,2020-04-14,2020-04-14,https://patents.google.com/patent/US10618207B2/en,https://patentimages.storage.googleapis.com/af/47/81/fabfef394327ee/US10618207-20200414-D00000.png
